year,geo_type,geo_id,geo_rank,geography,number,percent,percent_low,percent_high
2014,UHF34,211,3,Williamsburg - Bushwick,103000,66.7,66.7,66.7
2014,UHF34,301,3,Washington Heights,117000,58.5,58.5,58.5
2014,UHF34,302,3,Central Harlem - Morningside Heights,72000,61.2,61.2,61.2
2014,UHF34,303,3,East Harlem,50000,62.7,62.7,62.7
2014,UHF34,304,3,Upper West Side,89000,49.8,49.8,49.8
2014,UHF34,401,3,Long Island City - Astoria,101000,57.6,57.6,57.6
2014,UHF34,402,3,West Queens,229000,64.3,64.3,64.3
2014,UHF34,403,3,Flushing - Clearview,110000,51.1,51.1,51.1
2014,UHF34,405,3,Ridgewood - Forest Hills,108000,53.3,53.3,53.3
2014,UHF34,407,3,Southwest Queens,132000,63.7,63.7,63.7
2014,UHF34,408,3,Jamaica,153000,69.6,69.6,69.6
2014,UHF34,409,3,Southeast Queens,81000,53.4,53.4,53.4
2014,UHF34,410,3,Rockaways,51000,62.7,62.7,62.7
2014,UHF34,305307,3,Upper East Side-Gramercy,127000,41.5,41.5,41.5
2014,UHF34,306308,3,Chelsea-Village,76000,38.9,38.9,38.9
2014,UHF34,309310,3,Union Square-Lower Manhattan,83000,40,40,40
2014,UHF34,404406,3,Bayside Little Neck-Fresh Meadows,84000,56.1,56.1,56.1
2014,UHF34,501502,3,Northern SI,92000,64.5,64.5,64.5
2014,UHF34,503504,3,Southern SI,140000,65.5,65.5,65.5
2014,UHF34,105106107,3,South Bronx,254000,67.4,67.4,67.4
2014,Borough,1,1,Bronx,681000,67.9,67.9,67.9
2014,Borough,2,1,Brooklyn,1125000,58.7,58.7,58.7
2014,Borough,3,1,Manhattan,615000,47.5,47.5,47.5
2014,Borough,4,1,Queens,1050000,59.6,59.6,59.6
2014,Borough,5,1,Staten Island,232000,65.1,65.1,65.1
2014,Citywide,1,0,New York City,3703000,58.5,58.5,58.5
2013,UHF34,101,3,Kingsbridge - Riverdale,42000,62.1,62.1,62.1
2013,UHF34,102,3,Northeast Bronx,97000,70.7,70.7,70.7
2013,UHF34,103,3,Fordham - Bronx Pk,121000,69.5,69.5,69.5
2013,UHF34,104,3,Pelham - Throgs Neck,148000,69.2,69.2,69.2
2013,UHF34,201,3,Greenpoint,42000,45.4,45.4,45.4
2013,UHF34,202,3,Downtown - Heights - Slope,69000,41,41,41
2013,UHF34,203,3,Bedford Stuyvesant - Crown Heights,140000,60.2,60.2,60.2
2013,UHF34,204,3,East New York,75000,57.3,57.3,57.3
