station_id,station_name,latitude,longitude,zipcode,uhf34,uhf34_neighborhood,borough
409,DeKalb Ave & Skillman St,40.6906495,-73.95643107,11205,202,Downtown Heights Slope,Brooklyn
3490,E 116 St & 2 Ave,40.796879,-73.937261,10035,303,East Harlem,Manhattan
365,Fulton St & Grand Ave,40.68223166,-73.9614583,11207,204,East New York,Brooklyn
3072,Leonard St & Boerum St,40.70583339,-73.94644578,11222,201,Greenpoint,Brooklyn
3057,Kosciuszko St & Tompkins Ave,40.69128258,-73.9452416,11221,211,Williamsburg Bushwick,Brooklyn
3538,W 110 St & Amsterdam Ave,40.802692,-73.96295,10025,304,Upper West Side,Manhattan
2022,E 60 St & York Ave,40.759107,-73.959223,10155,NA,NA,NA
421,Clermont Ave & Park Ave,40.69573398,-73.97129668,11205,202,Downtown Heights Slope,Brooklyn
3712,W 35 St & Dyer Ave,40.754691750226016,-73.99740189313889,10001,306308,Chelsea Village,Manhattan
3547,Broadway & Moylan Pl,40.8143256,-73.9590255,10115,NA,NA,NA
3116,Huron St & Franklin St,40.73266,-73.95826,11222,201,Greenpoint,Brooklyn
3135,E 75 St & 3 Ave,40.77112927,-73.95772297,10021,305307,Upper East Side Gramercy,Manhattan
247,Perry St & Bleecker St,40.73535398,-74.00483091,10014,306308,Chelsea Village,Manhattan
304,Broadway & Battery Pl,40.70463334,-74.01361706,10275,NA,NA,NA
228,E 48 St & 3 Ave,40.7546011026,-73.971878855,10017,305307,Upper East Side Gramercy,Manhattan
3697,W 64 St & Thelonious Monk Circle,40.77515953434235,-73.98918695747852,10023,304,Upper West Side,Manhattan
3290,E 89 St & York Ave,40.7779453,-73.946041,10128,305307,Upper East Side Gramercy,Manhattan
3423,West Drive & Prospect Park West,40.6610633719006,-73.97945255041122,11215,202,Downtown Heights Slope,Brooklyn
3357,W 106 St & Amsterdam Ave,40.8008363,-73.9664492472,10025,304,Upper West Side,Manhattan
441,E 52 St & 2 Ave,40.756014,-73.967416,10022,305307,Upper East Side Gramercy,Manhattan
3177,W 84 St & Broadway,40.7867947,-73.977112,10024,304,Upper West Side,Manhattan
3393,Richards St & Delavan St,40.6794327,-74.00785041,11231,202,Downtown Heights Slope,Brooklyn
3355,E 66 St & Madison Ave,40.76800889305947,-73.96845281124115,10021,305307,Upper East Side Gramercy,Manhattan
3169,Riverside Dr & W 82 St,40.78720869,-73.98128127,10024,304,Upper West Side,Manhattan
3315,Henry St & Degraw St,40.6847514,-73.99917254,11231,202,Downtown Heights Slope,Brooklyn
3531,Frederick Douglass Blvd & W 129 St,40.8125511,-73.9492286,10027,302,Central Harlem Morningside Heights,Manhattan
408,Market St & Cherry St,40.71076228,-73.99400398,10002,309310,"Union Square, Lower Manhattan",Manhattan
3293,W 92 St & Broadway,40.7921,-73.9739,10024,304,Upper West Side,Manhattan
3565,36 Ave & 10 St,40.7614376,-73.9411265,11101,401,Long Island City Astoria,Queens
3373,3 St & 3 Ave,40.6750705,-73.98775226,11215,202,Downtown Heights Slope,Brooklyn
274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,11221,211,Williamsburg Bushwick,Brooklyn
422,W 59 St & 10 Ave,40.770513,-73.988038,10069,NA,NA,NA
3362,Madison Ave & E 82 St,40.7781314,-73.96069399,10028,305307,Upper East Side Gramercy,Manhattan
3153,E 71 St & 2 Ave,40.76817546742245,-73.95910263061523,10021,305307,Upper East Side Gramercy,Manhattan
