ZCTA5_FIPS,ZCTA5_population,SDI_score,PovertyLT100_FPL_score,Single_Parent_Fam_score,Education_LT12years_score,HHNo_Vehicle_score,HHRenter_Occupied_score,HHCrowding_score,Nonemployed_score,sdi,pct_Poverty_LT100,pct_Single_Parent_Fam,pct_Education_LT12years,pct_NonEmployed,pctHH_No_Vehicle,pctHH_Renter_Occupied,pctHH_Crowding
40815,1181,61,95,6,99,8,42,1,100,.29254442,.29720575,.050343249,.40560293,.63989961,.016032064,.29458919,0
40816,9,33,1,1,100,1,100,1,1,-.52431679,0,0,1,0,0,1,0
40818,46,59,100,100,97,1,1,1,1,.25303069,.65217394,.46666667,.34782609,0,0,0,0
40819,506,50,86,1,95,84,3,1,99,-.026172336,.22332016,0,.29891303,.56156158,.11255411,.095238097,0
40820,646,80,91,72,100,66,4,94,100,.89991671,.25696594,.16564417,.46271929,.6707921,.072340429,.10638298,.10638298
40823,3566,95,98,80,93,87,66,78,99,1.496389,.34242159,.18412699,.2664552,.54386812,.13124999,.40375,.047499999
40824,226,78,100,84,91,1,93,1,90,.83361804,.41150442,.2,.24096386,.40000001,0,.64179105,0
40826,590,67,98,23,98,92,6,1,100,.48709136,.35593221,.083832338,.36241612,.64918035,.17770036,.12891985,0
40827,1035,68,100,7,87,65,43,1,100,.51696134,.47439614,.053731345,.21715076,.58011872,.071641788,.29850745,0
40828,3988,78,100,37,96,87,24,28,100,.85650313,.42879957,.10516066,.3248525,.6444189,.13003534,.22544169,.012720848
40829,182,72,99,1,29,97,96,1,100,.65634525,.35714287,0,.063380279,.59433961,.35897437,.70512819,0
